epoch,lr-Ranger,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,49,,21.12916374206543,,,,,
0,,89,,,36.5344123840332,189844304.0,40.14255142211914,1.2788139581680298,16.930221557617188
0,,89,23.485036849975586,,,,,,
,0.03,90,,,,,,,
1,,99,,16.314599990844727,,,,,
1,,149,,12.68128776550293,,,,,
1,,179,,,15.238410949707031,58519436.0,20.654756546020508,1.0961644649505615,8.843482971191406
1,,179,14.684142112731934,,,,,,
